Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,HSWV,GSWV,Ярлык
536,количество,участников,количество,участник,Ncnsan,Ncmpgy,PAR,,,группа_S,организация_S,
537,числа,операторов,число,оператор,Ncnsgn,Ncmpgy,PAR,,,группа_S,агент_S,
538,сокращения,числа,сокращение,число,Ncnsgn,Ncnsgn,OB,,,действие_S,группа_S,
539,наведения,порядка,наведение,порядок,Ncnsgn,Ncmsgn,OB,,,действие_S,организация_S,
540,сборе,подписей,сбор,подпись,Ncmsln,Ncfpgn,OB,,,организация_S,предмет_S,
541,ведения,боя,ведение,бой,Ncnsgn,Ncmsgn,OB,,,организация_S,действие_S,
542,потере,времени,потеря,время,Ncfsln,Ncnsgn,OB,,,родственник_S,родственник_S,
543,прекращение,насилия,прекращение,насилие,Ncnsnn,Ncnsgn,OB,,,действие_S,действие_S,
544,член,союза,член,союз,Ncmsny,Ncmsgn,MB,,,учреждение_S,организация_S,
545,ректор,академии,ректор,академия,Ncmsny,Ncfsgm,MB,,,учреждение_S,учреждение_S,
546,член-корреспондент,академии,член-корреспондент,академия,Ncmsny,Ncfsgm,MB,,,деятель_S,учреждение_S,
547,устроителя,лагерей,устроитель,лагерь,Ncmsay,Ncmpgn,OB,,,деятель_S,группа_S,
548,лаборатория,подрядчика,лаборатория,подрядчик,Ncfsnn,Ncmsgy,POS,,,учреждение_S,агент_S,
549,заседаниях,штаба,заседание,штаб,Ncnspln,Ncmsgn,SAG,,,учреждение_S,агент_S,
550,сооружению,перехода,сооружение,переход,Ncnsdn,Ncmsgn,OB,,,учреждение_S,действие_S,
551,строительство,конструктивов,строительство,конструктив,Ncnsnn,Ncmpgn,OB,,,организация_S,свойство_S,
552,конструктивов,объекта,конструктив,объект,Ncmpgn,Ncmsgn,WH,,,свойство_S,предмет_S,
553,участия,танка,участие,танк,Ncnsgn,Ncmsgn,SAG,,,организация_S,агент_S,
554,поддержку,владимира,поддержка,владимир,Ncnsan,Npmsgy,OB,,,организация_S,деятель_S,
555,внучка,художника,внучка,художник,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
556,поддержке,друзей,поддержка,друг,Ncfsln,ncmpgy,SAG,,,организация_S,родственник_S,
557,друзей,семьи,друг,семья,Ncmpgy,Ncfsgy,KIN-SOC,,,родственник_S,родственник_S,
558,член,центризбиркома,член,центризбирком,Ncmsny,Ncmsgn,MB,,,учреждение_S,организация_S,
559,выдвижение,явлинского,выдвижение,явлинский,Ncnsan,Npmsgy,OB,,,действие_S,организация_S,
560,симптомы,болезни,симптом,болезнь,Ncmpan,Ncfsgn,PAR,,,свойство_S,свойство_S,
561,цена,присоединения,цена,присоединение,Ncfsnn,Ncnsgn,PAR,,,предмет_S,действие_S,
562,предсказания,пузыря,предсказание,пузырь,Ncnpan,Ncmsgn,OB,,,свойство_S,учреждение_S,
563,преподаватель,немецкого,преподаватель,немецкий,Ncmsny,Ncmsgn,OB',,,предмет_S,родственник_S,
564,председатель,комиссии,председатель,комиссия,Ncmsny,Ncfsgn,MB,,,учреждение_S,учреждение_S,
565,основания,города,основание,город,Ncnsgn,Ncmsgn,OB,,,предмет_S,родственник_S,
566,визит,патриарха,визит,патриарх,Ncmsnn,Ncmsgy,SAG,,,родственник_S,родственник_S,
567,ремонт,дорог,ремонт,дорога,Ncmsan,Ncfpgn,OB,,,учреждение_S,предмет_S,
568,собственности,иркутска,собственность,иркутск,Ncfsgn,Ncmsgn,POS,,,учреждение_S,родственник_S,
569,председатель,центра,председатель,центр,Ncmsny,Ncmsgn,MB,,,учреждение_S,учреждение_S,
570,аналитик,центра,аналитик,центр,Ncmsny,Ncmsgn,MB,,,деятель_S,учреждение_S,
571,центра,исследований,центр,исследование,Ncmsgn,Ncnpgn,ATR,,,учреждение_S,свойство_S,
572,покорителя,вершин,покоритель,вершина,Ncmsny,Ncfsgn,OB,,,свойство_S,группа_S,
573,расширении,функций,расширение,функция,Ncnsgn,Ncfpgn,OB,,,действие_S,свойство_S,
574,функций,совета,функция,совет,Ncfpgn,Ncmsgn,PAR,,,свойство_S,организация_S,
575,жест,предшественника,жест,предшественник,Ncmsan,Ncmsgy,PAR,,,действие_S,деятель_S,
576,защиты,автомобилистов,защита,автомобилист,Ncfsgn,Ncmpgy,OB,,,организация_S,деятель_S,
577,участии,отца,участие,отец,Ncnsln,Ncmsgy,SAG,,,организация_S,родственник_S,
578,изъятию,ценностей,изъятие,ценность,Ncnsdn,Ncfpgn,OB,,,действие_S,свойство_S,
579,применения,коэффициента,применение,коэффициент,Ncnsgn,Ncmsgn,OB,,,действие_S,свойство_S,
580,объему,сжигания,объем,сжигание,Ncmsdn,Ncnsgn,PAR,,,свойство_S,действие_S,
581,сжигания,пнг,сжигание,пнг,Ncnsgn,Ncmsgn,OB,,,действие_S,родственник_S,
582,снятии,пассажира,снятие,пассажир,Ncnsln,Ncmsgy,OB,,,действие_S,человек_S,
583,прохождения,процедур,прохождение,процедура,Ncnsgn,Ncfpgn,OB,,,действие_S,учреждение_S,
584,сторонника,партии,сторонник,партия,Ncmsgy,Ncfsgn,MB,,,деятель_S,группа_S,
585,исполнении,полномочий,исполнение,полномочие,Ncnsln,Ncnpgn,OB,,,действие_S,учреждение_S,
586,укуса,клеща,укус,клещ,Ncmsgn,Ncmsgy,SAG,,,свойство_S,агент_S,
587,депутата,госдумы,депутат,госдума,Ncmsgy,Ncfsgn,MB,,,деятель_S,группа_S,
588,исполнением,законов,исполнение,закон,Ncnsin,Ncmpgn,OB,,,действие_S,свойство_S,
589,стенах,университета,стена,университет,Ncfpln,Ncmsgn,WH,,,предмет_S,учреждение_S,
590,путей,сообщения,путь,сообщение,Ncmpgn,Ncnsgn,ATR,,,действие_S,агент_S,
591,принятия,закона,принятие,закон,Ncnsgn,Ncmsgn,OB,,,действие_S,свойство_S,
592,разрешении,кризиса,разрешение,кризис,Ncnsln,Ncmsgn,OB,,,учреждение_S,деятель_S,
593,гендиректор,компании,гендиректор,компания,Ncmsny,Ncfsgn,MB,,,организация_S,группа_S,
594,качество,молока,качество,молоко,Ncnsan,Ncnsgn,PAR,,,свойство_S,учреждение_S,
595,рынка,молока,рынок,молоко,Ncmsgn,Ncnsgn,ATR,,,агент_S,учреждение_S,
596,количество,молока,количество,молоко,Ncnsnn,Ncnsgn,PAR,,,группа_S,учреждение_S,
597,заключения,контракта,заключение,контракт,Ncnsgn,Ncmsgm,OB,,,учреждение_S,агент_S,
598,период,заключения,период,заключение,Ncmsan,Ncfsgn,ATR,,,группа_S,учреждение_S,
599,защитник,авдошкина,защитник,авдошкин,Ncmsny,Npmsgy,OB',,,деятель_S,родственник_S,
600,отводе,прокурора,отвод,прокурор,Ncmsln,Ncmsgy,OB,,,действие_S,агент_S,
601,подготовки,позиции,подготовка,позиция,Ncmsan,Ncfsgn,OB,,,организация_S,группа_S,
602,страницы,дела,страница,дело,Ncfpan,Ncfsgn,WH,,,человек_S,предмет_S,
603,исполнения,поручения,исполнение,поручение,Ncnsln,Ncnsgn,OB,,,действие_S,агент_S,
604,выделении,участка,выделение,участок,Ncnsln,Ncmsgn,OB,,,действие_S,группа_S,
605,объезда,округа,объезд,округа,Ncmsgn,Ncmsgn,OB,,,действие_S,группа_S,
606,мама,вити,мама,витя,Ncfsny,Npmsgy,KIN-SOC,,,родственник_S,родственник_S,
607,бабушка,первоклассника,бабушка,первоклассник,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,предмет_S,
608,участников,баталий,участник,баталия,Ncmpgy,Ncfpgn,SAG,,,организация_S,деятель_S,
609,стоимости,бензина,стоимость,бензин,Ncfsdn,Ncmpgn,PAR,,,предмет_S,действие_S,
610,продаж,дисков,продажа,диск,Ncfpgn,Ncmpgn,OB,,,агент_S,группа_S,
611,организаторов,митинга,организатор,митинг,Ncmpgy,Ncmsgn,OB',,,организация_S,организация_S,
612,навыки,борьбы,навык,борьба,Ncmpan,Ncfsgn,ATR,,,свойство_S,действие_S,
613,уровень,знаний,уровень,знание,Ncmsan,Ncnpgn,PAR,,,учреждение_S,свойство_S,
614,поисках,героя,поиск,герой,Ncmpln,Ncmsgn,OB,,,действие_S,человек_S,
615,нанесении,травмы,нанесение,травма,Ncnsln,Ncfsgn,OB,,,действие_S,действие_S,
616,самовыдвижению,кандидатов,самовыдвижение,кандидат,Ncnsdn,Ncmpgy,SAG,,,действие_S,деятель_S,
617,расследование,конфликта,расследование,конфликт,Ncnsan,Ncmsgn,OB,,,агент_S,действие_S,
618,показателе,смертности,показатель,смертность,Ncmsln,Ncfsgn,PAR,,,свойство_S,учреждение_S,
619,восхождении,полковника,восхождение,полковник,Ncnsln,Ncmsgy,SAG,,,действие_S,агент_S,
620,врач,больницы,врач,больница,Ncmsny,Ncfsgn,MB,,,агент_S,учреждение_S,
621,счетов,лазаренко,счет,лазаренко,Ncmpgn,Npmsgy,POS,,,агент_S,родственник_S,
622,удовлетворении,иска,удовлетворение,иск,Ncnsln,Ncmsgn,OB,,,предмет_S,действие_S,
623,аппарат,связи,аппарат,связь,Ncmsan,Ncfsgn,ATR,,,учреждение_S,свойство_S,
624,видеозапись,обращения,видеозапись,обращение,Ncfsan,Ncnsgn,OB',,,агент_S,действие_S,
625,деятельность,персонажа,деятельность,персонаж,Ncfsnn,Ncmsgy,SAG,,,действие_S,предмет_S,
626,задаванию,вопросов,задавание,вопрос,Ncnsdn,Ncmpgn,OB,,,предмет_S,предмет_S,
627,приманиванию,зрительниц,приманивание,зрительница,Ncnsdn,Ncfpgy,OB,,,деятель_S,человек_S,
628,вопросы,этики,вопрос,этика,Ncmpan,Ncfsgn,ATR,,,предмет_S,организация_S,
629,делам,несовершеннолетних,дело,несовершеннолетний,Ncnpdn,Ncmpgy,ATR,,,предмет_S,родственник_S,
630,активности,населения,активность,население,Ncfsgn,Ncnsgn,SAG,,,свойство_S,человек_S,
631,борьба,кланов,борьба,клан,Ncfsnn,Ncmpgn,SAG,,,действие_S,группа_S,
632,лоббирование,людей,лоббирование,человек,Ncnsan,Ncmpgy,OB,,,действие_S,человек_S,
633,тещи,члена,теща,член,Ncfsgy,Ncmsgy,KIN-SOC,,,родственник_S,учреждение_S,
634,жених,стоцкой,жених,стоцкий,Ncmsny,Npfsgy,KIN-SOC,,,родственник_S,родственник_S,
635,талант,пианиста,талант,пианист,Ncmsan,Ncmsgy,PAR,,,свойство_S,деятель_S,
636,заместитель,директора,заместитель,директор,Ncmsny,Ncmsgy,OB',,,агент_S,учреждение_S,
637,индустрии,красоты,индустрия,красота,Ncfsln,Ncfsgn,ATR,,,организация_S,свойство_S,
638,сдачи,номера,сдача,номер,Ncfsgn,Ncmsgn,OB,,,организация_S,группа_S,
639,момент,сдачи,момент,сдача,Ncmsan,Ncfsgn,ATR,,,предмет_S,организация_S,
640,критерием,инаугурации,критерий,инаугурация,Ncmsin,Ncfsgn,ATR,,,предмет_S,родственник_S,
641,демонстрация,достоинств,демонстрация,достоинство,Ncfsnn,Ncnpgn,OB,,,действие_S,свойство_S,
642,показом,продуктов,показ,продукт,Ncmsin,Ncmpgn,OB,,,действие_S,предмет_S,
643,запаха,тела,запах,тело,Ncmsgn,Ncnsgn,PAR,,,свойство_S,предмет_S,
644,организация,сообщения,организация,сообщение,Ncfsnn,Ncnsgn,OB,,,организация_S,агент_S,
645,утрату,удостоверения,утрата,удостоверение,Ncfsan,Ncnsgn,OB,,,родственник_S,агент_S,
646,облета,площадки,облет,площадка,Ncmsgn,Ncfsgn,OB,,,действие_S,группа_S,
647,переписи,населения,перепись,население,Ncnsgn,Ncnsgn,OB,,,организация_S,человек_S,
648,подготовки,переписи,подготовка,перепись,Ncnsdn,Ncnsgn,OB,,,организация_S,организация_S,
649,создания,расписания,создание,расписание,Ncnsgn,Ncnsgn,OB,,,организация_S,учреждение_S,
650,сотрудник,регистратуры,сотрудник,регистратура,Ncmsny,Ncfsgn,MB,,,агент_S,учреждение_S,
651,сын,олигарха,сын,олигарх,Ncnsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
652,героизм,бэтмена,героизм,бэтмена,Ncmsan,Npmsgy,PAR,,,свойство_S,агент_S,
653,упоминание,румынии,упоминание,румыния,Ncnsnn,Ncfsgn,OB,,,предмет_S,агент_S,
654,переговоров,канцлера,переговоры,канцлер,Ncmpgn,Ncmsgy,SAG,,,агент_S,агент_S,
655,постановку,спектакля,постановка,спектакль,Ncfsan,Ncmsgn,OB,,,действие_S,действие_S,
656,соратнике,фюрера,соратник,фюрер,Ncmsly,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
657,конкурентноспособности,продукции,конкурентноспособность,продукция,Ncfsgn,Ncfsgn,PAR,,,родственник_S,предмет_S,
658,преследовании,джемаля,преследование,джемаля,Ncnsln,N[msgy,OB,,,действие_S,родственник_S,
659,сайте,комитета,сайт,комитет,Ncmsln,Ncmsgn,POS,,,агент_S,организация_S,
660,поставок,топлива,поставка,топливо,Ncfpgn,Ncnsgn,OB,,,действие_S,организация_S,
661,приобретение,квартиры,приобретение,квартира,Ncnsan,Ncfsgn,OB,,,организация_S,родственник_S,
662,присвоение,звания,присвоение,звание,Ncnsan,Ncnsgn,OB,,,деятель_S,учреждение_S,
663,сыном,полка,сын,полка,Ncmsiy,Ncmsgn,KIN-SOC,,,родственник_S,предмет_S,
664,выявление,оборота,выявление,оборот,Ncnsan,Ncmsgn,OB,,,действие_S,действие_S,
665,изучению,преступности,изучение,преступность,Ncnsdn,Ncfsgn,OB,,,свойство_S,организация_S,
666,директор,центра,директор,центр,Ncmsny,Ncmsgn,MB,,,учреждение_S,учреждение_S,
667,начальника,гидрометцентра,начальник,гидрометцентр,Ncmsny,Ncmsgn,MB,,,агент_S,агент_S,
668,контродем,оперативников,контродема,оперативник,Ncmsin,Ncmpgy,SAG,,,родственник_S,агент_S,
669,площади,победы,площадь,победа,Ncfsln,Ncfsgn,ATR,,,группа_S,деятель_S,
670,представителя,фирмы-изготовителя,представитель,фирма-изготовитель,Ncmsgy,Ncfsgn,MB,,,деятель_S,родственник_S,
671,доме,актера,дом,актер,Ncmsln,Ncmsgy,ATR,,,родственник_S,человек_S,
672,имущество,компании,имущество,компания,Ncnsnn,Ncfsgn,POS,,,учреждение_S,группа_S,
673,пересказ,доклада,пересказ,доклад,Ncmsnn,Ncmsgn,OB,,,предмет_S,организация_S,
674,фонд,алеши,фонд,алеш,Ncmsan,Npmsgy,POS,,,учреждение_S,родственник_S,
675,действий,ответчика,действие,ответчик,Ncnpgn,Ncmsgy,SAG,,,действие_S,агент_S,
676,признаки,сомнительности,признак,сомнительность,Ncmpan,Ncfsgn,ATR,,,свойство_S,свойство_S,
677,объем,работ,объесть,работа,Ncmsan,Ncfpgn,PAR,,,родственник_S,организация_S,
678,колоритности,персонажа,колоритность,персонаж,Ncfsdn,Ncmsgy,PAR,,,свойство_S,предмет_S,
679,помощь,адвоката,помощь,адвокат,Ncfsan,Ncmsgy,SAG,,,действие_S,агент_S,
680,выносливости,физкультурника,выносливость,физкультурник,Ncfsgn,Ncmsgy,PAR,,,свойство_S,группа_S,
681,насмешки,судьбы,насмешка,судьба,Ncfsgn,Ncfsgn,SAG,,,предмет_S,свойство_S,
682,заказу,вельможу,заказ,вельможа,Ncmsdn,Ncmsgy,SAG,,,агент_S,агент_S,
683,прием,граждан,прием,гражданин,Ncmsan,Ncmpgy,OB,,,действие_S,человек_S,
684,пункт,соглашения,пункт,соглашение,Ncmsnn,Ncnsgn,WH,,,предмет_S,агент_S,
685,лечения,ребенка,лечение,ребенок,Ncnsgn,Ncmsgy,OB,,,действие_S,родственник_S,
686,оплату,лечения,оплата,лечение,Ncfsan,Ncnsgn,OB,,,организация_S,действие_S,
687,сокращению,очередей,сокращение,очередь,Ncnsdn,Ncfpgn,OB,,,действие_S,группа_S,
688,чтением,канона,чтение,канон,Ncnsin,Ncmsgn,OB,,,предмет_S,свойство_S,
689,боец,отряда,боец,отряд,Ncmsny,Ncmsgn,MB,,,человек_S,группа_S,
690,могущество,писателя,могущество,писатель,Ncnsnn,Ncmsgy,PAR,,,свойство_S,деятель_S,
691,концепция,интеллекта,концепция,интеллект,Ncfsnn,Ncmsgn,PAR,,,свойство_S,свойство_S,
692,момент,открытия,момент,открытие,Ncmsan,Ncfsgn,ATR,,,предмет_S,деятель_S,
693,открытия,объекта,открытие,объект,Ncfsgn,Ncmsgn,OB,,,деятель_S,предмет_S,
694,важность,ситуации,важность,ситуация,Ncnsan,Ncfsgn,PAR,,,деятель_S,действие_S,
695,степень,ответственности,степень,ответственность,Ncnsan,Ncfsgn,PAR,,,свойство_S,действие_S,
696,профессию,рабочего,профессия,рабочий,Ncfsan,Ncmsgy,ATR,,,предмет_S,человек_S,
697,систему,обороны,система,оборона,Ncfsan,Ncfsgn,ATR,,,учреждение_S,действие_S,
698,завершению,секвенирования,завершение,секвенирование,Ncnsdn,Ncnsgn,OB,,,предмет_S,действие_S,
699,секвенирования,генома,секвенирование,геном,Ncnsgn,Ncmsgn,OB,,,действие_S,свойство_S,
700,генома,человека,геном,человек,Ncmsgn,Ncmsgy,PAR,,,свойство_S,человек_S,
701,тону,директора,тон,директор,Ncmsdn,Ncmsgy,PAR,,,свойство_S,учреждение_S,
702,облика,смены,облик,смена,Ncmsgn,Ncfsgn,PAR,,,свойство_S,действие_S,
703,заводе,авиации,завод,авиация,Ncmsln,Ncfsgn,ATR,,,учреждение_S,агент_S,
704,колеса,мотоциклиста,колесо,мотоциклист,Ncnpan,Ncmsgy,POS,,,учреждение_S,человек_S,
705,степени,тяжести,степень,тяжесть,Ncfsgn,Ncfsgn,PAR,,,свойство_S,свойство_S,
706,статус,беженца,статус,беженец,Ncmsan,Ncmsgy,ATR,,,свойство_S,человек_S,
707,доказательством,жизни,доказательство,жизнь,Ncnsin,Ncfsgn,OB,,,предмет_S,человек_S,
708,репутацию,человека,репутация,человек,Ncfsan,Ncmsgy,PAR,,,организация_S,человек_S,
709,победы,адмирала,победа,адмирал,Ncfsgn,Ncmsgy,SAG,,,деятель_S,агент_S,
710,создатель,сетей,создатель,сеть,Ncmsny,Ncfpgn,OB',,,деятель_S,учреждение_S,
711,размер,ставки,размер,ставка,Ncmsnn,Ncfsgn,PAR,,,свойство_S,группа_S,
712,оценки,кредитоспособности,оценка,кредитоспособность,Ncfsgn,Ncfsgn,OB,,,организация_S,свойство_S,
713,кредитоспособности,клиента,кредитоспособность,клиент,Ncfsgn,Ncmsgy,PAR,,,свойство_S,агент_S,
714,кресло,судьи,кресло,судья,Ncnsan,Ncmsgy,POS,,,предмет_S,деятель_S,
715,тонкости,процесса,тонкость,процесс,Ncfpan,Ncmsgn,PAR,,,свойство_S,действие_S,
716,распределении,участков,распределение,участок,Ncnpln,Ncmpgn,OB,,,организация_S,группа_S,
717,отстрел,зайца,отстрел,заяц,Ncmsan,Ncmsgy,OB,,,действие_S,человек_S,
718,заседанием,кдк,заседание,кдк,Ncnsin,Ncmsgn,SAG,,,учреждение_S,родственник_S,
719,офис,рфс,офис,рфс,Ncmsan,Ncfsgn,POS,,,агент_S,родственник_S,
720,вице-президент,"""анжи""",вице-президент,анжи,Ncmsny,Ncfsgn,MB,,,деятель_S,группа_S,
721,регистрации,средств,регистрация,средство,Ncnsgn,Ncnpgn,OB,,,учреждение_S,учреждение_S,
722,успешность,программ,успешность,программа,Ncfsnn,Ncfpgn,PAR,,,организация_S,организация_S,
723,открытостью,программ,открытость,программа,Ncfsin,Ncfpgn,PAR,,,свойство_S,организация_S,
724,ясностью,изложения,ясность,изложение,Ncfsin,Ncnsgn,PAR,,,свойство_S,предмет_S,
725,распоряжения,клиента,распоряжение,клиент,Ncnsgn,Ncmsgy,SAG,,,агент_S,агент_S,
726,спаривании,самца,спаривание,самец,Ncnsln,Ncmsgy,SAG,,,действие_S,человек_S,
727,пост,наставника,пост,наставник,Ncmsan,Ncmsgy,ATR,,,учреждение_S,деятель_S,
728,наставника,махачкалинцев,наставник,махачкалинец,Ncmsgy,Ncmpgy,OB',,,деятель_S,деятель_S,
729,пластичность,человека,пластичность,человек,Ncnsan,Ncmsgy,PAR,,,свойство_S,человек_S,
730,обустройства,площадок,обустройство,площадка,Ncnsgn,Ncfpgn,OB,,,организация_S,группа_S,
731,бюро,выставок,бюро,выставка,Ncnsgn,Ncfgpn,ATR,,,организация_S,организация_S,
732,складе,запчастей,склад,запчасть,Ncmsln,Ncfpgn,ATR,,,учреждение_S,предмет_S,
733,предоставлению,жилья,предоставление,жилье,Ncnsdn,Ncnsgn,OB,,,организация_S,родственник_S,
734,отбелку,целлюлозы,отбелка,целлюлоза,Ncfsan,Ncfsgn,OB,,,свойство_S,свойство_S,
735,охраны,природы,охрана,природа,Ncfsgn,Ncfsgn,OB,,,организация_S,свойство_S,
736,союза,охраны,союз,охрана,Ncmsgn,Ncfsgn,ATR,,,организация_S,организация_S,
737,сборки,автомобилей,сборка,автомобиль,Ncfsgn,Ncmpgn,OB,,,организация_S,агент_S,
738,школа,граждан,школа,гражданин,Ncfsnn,Ncmpgy,ATR,,,учреждение_S,человек_S,
739,выращиванию,человека,выращивание,человек,Ncnsdn,Ncmsgy,OB,,,организация_S,человек_S,
740,качества,преподавания,качество,преподавание,Ncnsgn,Ncnsgn,PAR,,,свойство_S,предмет_S,
741,поведении,собаки,поведение,собака,Ncnsln,Ncfsgy,SAG,,,действие_S,человек_S,
742,достоинствах,плана,достоинство,план,Ncnpgn,Ncmsgn,PAR,,,свойство_S,группа_S,
743,кресле,министра,кресло,министр,Ncnsln,Ncmsgy,POS,,,предмет_S,агент_S,
744,сообщник,мошенника,сообщник,мошенник,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
745,форме,сотрудника,форма,сотрудник,Ncfsln,Ncmsgy,ATR,,,предмет_S,агент_S,
746,поиском,ребенка,поиск,ребенок,Ncmsin,Ncmsgy,OB,,,действие_S,родственник_S,
747,собрании,энергокомпании,собрание,энергокомпания,Ncnsln,Ncfsgn,SAG,,,организация_S,учреждение_S,
748,театр,драмы,театр,драма,Ncmsan,Ncfsgn,ATR,,,деятель_S,действие_S,
749,отмене,лимита,отмена,лимит,Ncmsln,Ncmsgn,OB,,,действие_S,организация_S,
750,спикера,госдумы,спикер,госдума,Ncmsgy,Ncfsgn,MB,,,деятель_S,группа_S,
751,обеспечение,ветеранов,обеспечение,ветеран,Ncnsnn,Ncmpgy,OB,,,организация_S,родственник_S,
752,улучшению,условий,улучшение,условие,Ncnsdn,Ncnpgn,OB,,,организация_S,свойство_S,
753,передачи,портфелей,передача,портфель,Ncfsgn,Ncmpgn,OB,,,действие_S,учреждение_S,
754,председатель,правительства,председатель,правительство,Ncmsny,Ncnsgn,MB,,,учреждение_S,организация_S,
755,лидер,кпрф,лидер,кпрф,Ncmsny,Ncfsgn,MB,,,деятель_S,группа_S,
756,ликвидации,пожаров,ликвидация,пожар,Ncfsgn,Ncmpgn,OB,,,организация_S,действие_S,
757,член,бандгруппы,член,бандгруппа,Ncmsny,Ncfsgn,MB,,,учреждение_S,группа_S,
758,доступность,территорий,доступность,территория,Ncnsan,Ncfpgn,PAR,,,свойство_S,учреждение_S,
759,скорость,доставки,скорость,доставка,Ncnsan,Ncfsgn,PAR,,,свойство_S,организация_S,
760,доставки,пассажиров,доставка,пассажир,Ncfsgn,Ncmpgy,OB,,,организация_S,человек_S,
761,конкурентноспособность,экономики,конкурентноспособность,экономика,Ncfsan,Ncfsgn,PAR,,,родственник_S,учреждение_S,
762,департамента,образования,департамент,образование,Ncmsgn,Ncnsgn,ATR,,,агент_S,учреждение_S,
763,выборе,партнера,выбор,партнер,Ncmsln,Ncmsgy,OB,,,действие_S,агент_S,
764,невыплату,зарплаты,невыплата,зарплата,Ncfsan,Ncfsgn,OB,,,действие_S,человек_S,
765,разработку,месторождений,разработка,месторождение,Ncfsan,Ncnpgn,OB,,,организация_S,предмет_S,
766,получения,лицензий,получение,лицензия,Ncnsgn,Ncfpgn,OB,,,организация_S,учреждение_S,
767,диплом,юриста,диплом,юрист,Ncmsan,Ncmsgy,ATR,,,учреждение_S,деятель_S,
768,вес,человека,вес,человек,Ncmsan,Ncmsgy,PAR,,,свойство_S,человек_S,
769,устойчивости,развития,устойчивость,развитие,Ncfsgn,Ncnsgn,PAR,,,свойство_S,организация_S,
770,командир,крейсера,командир,крейсер,Ncmsny,Ncmsgn,OB',,,группа_S,группа_S,
771,акции,протеста,акция,протест,Ncfpnn,Ncmsgn,ATR,,,организация_S,действие_S,
772,предок,человека,предок,человек,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
773,стоимость,долга,стоимость,долг,Ncfsan,Ncmsgn,PAR,,,предмет_S,родственник_S,
774,замену,удостоверения,замена,удостоверение,Ncfsan,Ncnsgn,OB,,,действие_S,агент_S,
775,удостоверения,личности,удостоверение,личность,Ncnsgn,Ncfsgn,OB',,,агент_S,человек_S,
776,границы,участка,граница,участок,Ncfpnn,Ncmsgn,WH,,,родственник_S,группа_S,
777,фрагмент,венца,фрагмент,венец,Ncmsan,Ncmsgn,WH,,,группа_S,деятель_S,
778,шмотки,царицы,шмотки,царица,Ncfpan,Ncfsgy,POS,,,предмет_S,родственник_S,
779,достройку,слободы,достройка,слобода,Ncfan,Ncfsgn,OB,,,организация_S,группа_S,
780,палате,представителей,палата,представитель,Ncfsln,Ncmpgy,ATR,,,учреждение_S,деятель_S,
781,стабилизации,цен,стабилизация,цена,Ncfsdn,Ncfpgn,OB,,,действие_S,предмет_S,
782,продукты,питания,продукт,питание,Ncmpan,Ncfsgn,ATR,,,предмет_S,организация_S,
783,появлением,малыша,появление,малыш,Ncnsin,Ncmpgn,SPA,,,действие_S,человек_S,
784,производство,препаратов,производство,препарат,Ncnsnn,Ncmsng,OB,,,организация_S,свойство_S,
785,декан,факультета,декан,факультет,Ncmsny,Ncmsgn,MB,,,деятель_S,группа_S,
786,факультета,управления,факультет,управление,Ncmsgn,Ncnsgn,ATR,,,группа_S,учреждение_S,
787,выступлением,тхэквондистов,выступление,тхэквондист,Ncnsin,Ncmsgy,SAG,,,действие_S,родственник_S,
788,смерти,художника,смерть,художник,Ncfsgn,Ncmsgy,SPA,,,родственник_S,деятель_S,
789,возмещения,вреда,возмещение,вред,Ncnsan,Ncmsgn,OB,,,организация_S,действие_S,
790,фотографию,мальчика,фотография,мальчик,Ncfsan,Ncmsgy,OB',,,предмет_S,человек_S,
791,вырубки,кедра,вырубка,кедр,Ncfpan,Ncmsgn,OB,,,группа_S,учреждение_S,
792,разрушению,экосистем,разрушение,экосистема,Ncnsdn,Ncfpgn,OB,,,действие_S,свойство_S,
793,фотографии,человека,фотография,человек,Ncfpnn,Ncmsgy,OB',,,предмет_S,человек_S,
794,рождение,ребенка,рождение,ребенок,Ncnsan,Ncmsgy,SPA,,,родственник_S,родственник_S,
795,оглашения,приговора,оглашение,приговор,Ncnsgn,Ncmsgn,OB,,,действие_S,учреждение_S,
796,игнорирование,нормы,игнорирование,норма,Ncnsnn,Ncfsgn,OB,,,действие_S,организация_S,
797,отец,героя,отец,герой,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
798,представителя,власти,представитель,власть,Ncmsgy,Ncfsgn,MB,,,деятель_S,учреждение_S,
799,оператор,доения,оператор,доение,Ncmsny,Ncnsgn,ATR,,,агент_S,действие_S,
800,оператор,агрофирмы,оператор,агрофирма,Ncmsny,Ncfsgn,MB,,,агент_S,учреждение_S,
801,работу,мэра,работа,мэр,Ncfsan,Ncmsgy,SAG,,,организация_S,родственник_S,
802,выдачи,формы,выдача,форма,Ncfsgn,Ncfsgn,OB,,,организация_S,предмет_S,
