№,Head,Gen,HeadNorm,GenNorm,HeadForm,GenForm,Rel,HeadSem,GenSem,SetRel,HeadDer,GenDer
607,навыки,борьбы,навык,борьба,Ncmpan,Ncfsgn,ATR,,,,N,N
608,уровень,знаний,уровень,знание,Ncmsan,Ncnpgn,PAR,,,,N,N
609,поисках,героя,поиск,герой,Ncmpln,Ncmsgn,OB,,,,Vt,Vt
610,нанесении,травмы,нанесение,травма,Ncnsln,Ncfsgn,OB,,,,N,N
611,самовыдвижению,кандидатов,самовыдвижение,кандидат,Ncnsdn,Ncmpgy,SAG,,,,Vt,N
612,расследование,конфликта,расследование,конфликт,Ncnsan,Ncmsgn,OB,,,,N,N
613,показателе,смертности,показатель,смертность,Ncmsln,Ncfsgn,PAR,,,,Vt,N
614,восхождении,полковника,восхождение,полковник,Ncnsln,Ncmsgy,SAG,,,,Vt,N
615,врач,больницы,врач,больница,Ncmsny,Ncfsgn,MB,,,,Vt,N
616,счетов,лазаренко,счет,лазаренко,Ncmpgn,Npmsgy,POS,,,,Vt,Vt
617,удовлетворении,иска,удовлетворение,иск,Ncnsln,Ncmsgn,OB,,,,N,N
618,аппарат,связи,аппарат,связь,Ncmsan,Ncfsgn,ATR,,,,Vn,Vt
619,видеозапись,обращения,видеозапись,обращение,Ncfsan,Ncnsgn,OB',,,,Vn,Vt
620,деятельность,персонажа,деятельность,персонаж,Ncfsnn,Ncmsgy,SAG,,,,Vt,N
621,задаванию,вопросов,задавание,вопрос,Ncnsdn,Ncmpgn,OB,,,,Vn,N
622,приманиванию,зрительниц,приманивание,зрительница,Ncnsdn,Ncfpgy,OB,,,,N,N
623,вопросы,этики,вопрос,этика,Ncmpan,Ncfsgn,ATR,,,,Vn,N
624,делам,несовершеннолетних,дело,несовершеннолетний,Ncnpdn,Ncmpgy,ATR,,,,N,N
625,активности,населения,активность,население,Ncfsgn,Ncnsgn,SAG,,,,Vt,N
626,борьба,кланов,борьба,клан,Ncfsnn,Ncmpgn,SAG,,,,N,N
627,лоббирование,людей,лоббирование,человек,Ncnsan,Ncmpgy,OB,,,,N,N
628,тещи,члена,теща,член,Ncfsgy,Ncmsgy,KIN-SOC,,,,Vt,Vt
629,жених,стоцкой,жених,стоцкий,Ncmsny,Npfsgy,KIN-SOC,,,,Vt,N
630,талант,пианиста,талант,пианист,Ncmsan,Ncmsgy,PAR,,,,Vn,Vn
631,заместитель,директора,заместитель,директор,Ncmsny,Ncmsgy,OB',,,,N,N
632,индустрии,красоты,индустрия,красота,Ncfsln,Ncfsgn,ATR,,,,N,N
633,сдачи,номера,сдача,номер,Ncfsgn,Ncmsgn,OB,,,,N,N
634,момент,сдачи,момент,сдача,Ncmsan,Ncfsgn,ATR,,,,Vt,Vt
635,критерием,инаугурации,критерий,инаугурация,Ncmsin,Ncfsgn,ATR,,,,N,N
636,демонстрация,достоинств,демонстрация,достоинство,Ncfsnn,Ncnpgn,OB,,,,Vn,N
637,показом,продуктов,показ,продукт,Ncmsin,Ncmpgn,OB,,,,Vt,N
638,запаха,тела,запах,тело,Ncmsgn,Ncnsgn,PAR,,,,A,Vt
639,организация,сообщения,организация,сообщение,Ncfsnn,Ncnsgn,OB,,,,Vt,N
640,утрату,удостоверения,утрата,удостоверение,Ncfsan,Ncnsgn,OB,,,,Vt,N
641,облета,площадки,облет,площадка,Ncmsgn,Ncfsgn,OB,,,,N,N
642,переписи,населения,перепись,население,Ncnsgn,Ncnsgn,OB,,,,Vt,N
643,подготовки,переписи,подготовка,перепись,Ncnsdn,Ncnsgn,OB,,,,Vn,N
644,создания,расписания,создание,расписание,Ncnsgn,Ncnsgn,OB,,,,Vt,N
645,сотрудник,регистратуры,сотрудник,регистратура,Ncmsny,Ncfsgn,MB,,,,Vt,N
646,сын,олигарха,сын,олигарх,Ncnsny,Ncmsgy,KIN-SOC,,,,Vt,N
647,героизм,бэтмена,героизм,бэтмена,Ncmsan,Npmsgy,PAR,,,,N,N
648,упоминание,румынии,упоминание,румыния,Ncnsnn,Ncfsgn,OB,,,,N,N
649,переговоров,канцлера,переговоры,канцлер,Ncmpgn,Ncmsgy,SAG,,,,Vt,Vt
650,постановку,спектакля,постановка,спектакль,Ncfsan,Ncmsgn,OB,,,,Vt,N
651,соратнике,фюрера,соратник,фюрер,Ncmsly,Ncmsgy,KIN-SOC,,,,Vt,A
652,конкурентноспособности,продукции,конкурентноспособность,продукция,Ncfsgn,Ncfsgn,PAR,,,,A,Vn
653,преследовании,джемаля,преследование,джемаль,Ncnsln,Npmsgy,OB,,,,Vn,N
654,сайте,комитета,сайт,комитет,Ncmsln,Ncmsgn,POS,,,,Vt,Vn
655,поставок,топлива,поставка,топливо,Ncfpgn,Ncnsgn,OB,,,,N,N
656,приобретение,квартиры,приобретение,квартира,Ncnsan,Ncfsgn,OB,,,,N,N
657,присвоение,звания,присвоение,звание,Ncnsan,Ncnsgn,OB,,,,N,N
658,сыном,полка,сын,полка,Ncmsiy,Ncmsgn,KIN-SOC,,,,A,N
659,выявление,оборота,выявление,оборот,Ncnsan,Ncmsgn,OB,,,,A,Vn
660,изучению,преступности,изучение,преступность,Ncnsdn,Ncfsgn,OB,,,,A,Vn
661,директор,центра,директор,центр,Ncmsny,Ncmsgn,MB,,,,N,N
662,начальника,гидрометцентра,начальник,гидрометцентр,Ncmsny,Ncmsgn,MB,,,,Vt,N
663,контродем,оперативников,контродема,оперативник,Ncmsin,Ncmpgy,SAG,,,,N,Vt
664,площади,победы,площадь,победа,Ncfsln,Ncfsgn,ATR,,,,N,N
665,представителя,фирмы-изготовителя,представитель,фирма-изготовитель,Ncmsgy,Ncfsgn,MB,,,,N,Vn
666,доме,актера,дом,актер,Ncmsln,Ncmsgy,ATR,,,,N,N
667,имущество,компании,имущество,компания,Ncnsnn,Ncfsgn,POS,,,,Vn,N
668,пересказ,доклада,пересказ,доклад,Ncmsnn,Ncmsgn,OB,,,,A,N
669,фонд,алеши,фонд,алеш,Ncmsan,Npmsgy,POS,,,,N,N
670,действий,ответчика,действие,ответчик,Ncnpgn,Ncmsgy,SAG,,,,N,N
671,признаки,сомнительности,признак,сомнительность,Ncmpan,Ncfsgn,ATR,,,,N,N
672,объем,работ,объесть,работа,Ncmsan,Ncfpgn,PAR,,,,Vt,N
673,колоритности,персонажа,колоритность,персонаж,Ncfsdn,Ncmsgy,PAR,,,,Vn,N
674,помощь,адвоката,помощь,адвокат,Ncfsan,Ncmsgy,SAG,,,,A,N
675,выносливости,физкультурника,выносливость,физкультурник,Ncfsgn,Ncmsgy,PAR,,,,N,N
676,насмешки,судьбы,насмешка,судьба,Ncfsgn,Ncfsgn,SAG,,,,Vt,Vt
677,заказу,вельможу,заказ,вельможа,Ncmsdn,Ncmsgy,SAG,,,,A,N
678,прием,граждан,прием,гражданин,Ncmsan,Ncmpgy,OB,,,,N,N
679,пункт,соглашения,пункт,соглашение,Ncmsnn,Ncnsgn,WH,,,,Vt,Vn
680,лечения,ребенка,лечение,ребенок,Ncnsgn,Ncmsgy,OB,,,,N,Vn
681,оплату,лечения,оплата,лечение,Ncfsan,Ncnsgn,OB,,,,N,Vn
682,сокращению,очередей,сокращение,очередь,Ncnsdn,Ncfpgn,OB,,,,N,Vt
683,чтением,канона,чтение,канон,Ncnsin,Ncmsgn,OB,,,,Vt,N
684,боец,отряда,боец,отряд,Ncmsny,Ncmsgn,MB,,,,N,N
685,могущество,писателя,могущество,писатель,Ncnsnn,Ncmsgy,PAR,,,,N,Vn
686,концепция,интеллекта,концепция,интеллект,Ncfsnn,Ncmsgn,PAR,,,,N,N
687,момент,открытия,момент,открытие,Ncmsan,Ncfsgn,ATR,,,,N,N
688,открытия,объекта,открытие,объект,Ncfsgn,Ncmsgn,OB,,,,N,N
689,важность,ситуации,важность,ситуация,Ncnsan,Ncfsgn,PAR,,,,Vt,N
690,степень,ответственности,степень,ответственность,Ncnsan,Ncfsgn,PAR,,,,Vt,Vt
691,профессию,рабочего,профессия,рабочий,Ncfsan,Ncmsgy,ATR,,,,A,N
692,систему,обороны,система,оборона,Ncfsan,Ncfsgn,ATR,,,,A,N
693,завершению,секвенирования,завершение,секвенирование,Ncnsdn,Ncnsgn,OB,,,,N,N
694,секвенирования,генома,секвенирование,геном,Ncnsgn,Ncmsgn,OB,,,,N,N
695,генома,человека,геном,человек,Ncmsgn,Ncmsgy,PAR,,,,Vt,N
696,тону,директора,тон,директор,Ncmsdn,Ncmsgy,PAR,,,,Vn,N
697,облика,смены,облик,смена,Ncmsgn,Ncfsgn,PAR,,,,N,Vn
698,заводе,авиации,завод,авиация,Ncmsln,Ncfsgn,ATR,,,,A,N
699,колеса,мотоциклиста,колесо,мотоциклист,Ncnpan,Ncmsgy,POS,,,,Vn,N
700,степени,тяжести,степень,тяжесть,Ncfsgn,Ncfsgn,PAR,,,,Vt,N
701,статус,беженца,статус,беженец,Ncmsan,Ncmsgy,ATR,,,,A,Vn
702,доказательством,жизни,доказательство,жизнь,Ncnsin,Ncfsgn,OB,,,,Vt,N
703,репутацию,человека,репутация,человек,Ncfsan,Ncmsgy,PAR,,,,N,N
704,победы,адмирала,победа,адмирал,Ncfsgn,Ncmsgy,SAG,,,,A,Vn
705,создатель,сетей,создатель,сеть,Ncmsny,Ncfpgn,OB',,,,Vn,N
706,размер,ставки,размер,ставка,Ncmsnn,Ncfsgn,PAR,,,,N,Vt
707,оценки,кредитоспособности,оценка,кредитоспособность,Ncfsgn,Ncfsgn,OB,,,,Vt,N
708,кредитоспособности,клиента,кредитоспособность,клиент,Ncfsgn,Ncmsgy,PAR,,,,Vt,Vn
709,кресло,судьи,кресло,судья,Ncnsan,Ncmsgy,POS,,,,Vt,Vn
710,тонкости,процесса,тонкость,процесс,Ncfpan,Ncmsgn,PAR,,,,N,Vn
711,распределении,участков,распределение,участок,Ncnpln,Ncmpgn,OB,,,,N,N
712,отстрел,зайца,отстрел,заяц,Ncmsan,Ncmsgy,OB,,,,N,Vt
713,заседанием,кдк,заседание,кдк,Ncnsin,Ncmsgn,SAG,,,,Vt,N
714,офис,рфс,офис,рфс,Ncmsan,Ncfsgn,POS,,,,Vt,N
715,вице-президент,"""анжи""",вице-президент,анжи,Ncmsny,Ncfsgn,MB,,,,Vn,Vn
716,регистрации,средств,регистрация,средство,Ncnsgn,Ncnpgn,OB,,,,A,N
717,успешность,программ,успешность,программа,Ncfsnn,Ncfpgn,PAR,,,,N,N
718,открытостью,программ,открытость,программа,Ncfsin,Ncfpgn,PAR,,,,N,Vt
719,ясностью,изложения,ясность,изложение,Ncfsin,Ncnsgn,PAR,,,,N,N
720,распоряжения,клиента,распоряжение,клиент,Ncnsgn,Ncmsgy,SAG,,,,Vt,N
721,спаривании,самца,спаривание,самец,Ncnsln,Ncmsgy,SAG,,,,N,N
722,пост,наставника,пост,наставник,Ncmsan,Ncmsgy,ATR,,,,Vt,Vn
723,наставника,махачкалинцев,наставник,махачкалинец,Ncmsgy,Ncmpgy,OB',,,,A,N
724,пластичность,человека,пластичность,человек,Ncnsan,Ncmsgy,PAR,,,,Vt,N
725,обустройства,площадок,обустройство,площадка,Ncnsgn,Ncfpgn,OB,,,,N,N
726,бюро,выставок,бюро,выставка,Ncnsgn,Ncfgpn,ATR,,,,Vn,N
727,складе,запчастей,склад,запчасть,Ncmsln,Ncfpgn,ATR,,,,N,N
728,предоставлению,жилья,предоставление,жилье,Ncnsdn,Ncnsgn,OB,,,,N,N
729,отбелку,целлюлозы,отбелка,целлюлоза,Ncfsan,Ncfsgn,OB,,,,A,Vn
730,охраны,природы,охрана,природа,Ncfsgn,Ncfsgn,OB,,,,N,N
731,союза,охраны,союз,охрана,Ncmsgn,Ncfsgn,ATR,,,,N,N
732,сборки,автомобилей,сборка,автомобиль,Ncfsgn,Ncmpgn,OB,,,,Vt,N
733,школа,граждан,школа,гражданин,Ncfsnn,Ncmpgy,ATR,,,,Vt,N
734,выращиванию,человека,выращивание,человек,Ncnsdn,Ncmsgy,OB,,,,N,N
735,качества,преподавания,качество,преподавание,Ncnsgn,Ncnsgn,PAR,,,,Vn,Vn
736,поведении,собаки,поведение,собака,Ncnsln,Ncfsgy,SAG,,,,N,N
737,достоинствах,плана,достоинство,план,Ncnpgn,Ncmsgn,PAR,,,,N,N
738,кресле,министра,кресло,министр,Ncnsln,Ncmsgy,POS,,,,A,N
739,сообщник,мошенника,сообщник,мошенник,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
740,форме,сотрудника,форма,сотрудник,Ncfsln,Ncmsgy,ATR,,,,N,N
741,поиском,ребенка,поиск,ребенок,Ncmsin,Ncmsgy,OB,,,,N,N
742,собрании,энергокомпании,собрание,энергокомпания,Ncnsln,Ncfsgn,SAG,,,,Vt,N
743,театр,драмы,театр,драма,Ncmsan,Ncfsgn,ATR,,,,N,N
744,отмене,лимита,отмена,лимит,Ncmsln,Ncmsgn,OB,,,,N,Vn
745,спикера,госдумы,спикер,госдума,Ncmsgy,Ncfsgn,MB,,,,Vt,N
746,обеспечение,ветеранов,обеспечение,ветеран,Ncnsnn,Ncmpgy,OB,,,,A,Vt
747,улучшению,условий,улучшение,условие,Ncnsdn,Ncnpgn,OB,,,,Vt,N
748,передачи,портфелей,передача,портфель,Ncfsgn,Ncmpgn,OB,,,,Vt,N
749,председатель,правительства,председатель,правительство,Ncmsny,Ncnsgn,MB,,,,N,Vt
750,лидер,кпрф,лидер,кпрф,Ncmsny,Ncfsgn,MB,,,,Vt,N
751,ликвидации,пожаров,ликвидация,пожар,Ncfsgn,Ncmpgn,OB,,,,Vn,N
752,член,бандгруппы,член,бандгруппа,Ncmsny,Ncfsgn,MB,,,,N,Vn
753,доступность,территорий,доступность,территория,Ncnsan,Ncfpgn,PAR,,,,A,N
754,скорость,доставки,скорость,доставка,Ncnsan,Ncfsgn,PAR,,,,N,N
755,доставки,пассажиров,доставка,пассажир,Ncfsgn,Ncmpgy,OB,,,,N,Vn
756,конкурентноспособность,экономики,конкурентноспособность,экономика,Ncfsan,Ncfsgn,PAR,,,,N,N
757,департамента,образования,департамент,образование,Ncmsgn,Ncnsgn,ATR,,,,N,N
758,выборе,партнера,выбор,партнер,Ncmsln,Ncmsgy,OB,,,,Vt,N
759,невыплату,зарплаты,невыплата,зарплата,Ncfsan,Ncfsgn,OB,,,,N,Vn
760,разработку,месторождений,разработка,месторождение,Ncfsan,Ncnpgn,OB,,,,N,N
761,получения,лицензий,получение,лицензия,Ncnsgn,Ncfpgn,OB,,,,N,N
762,диплом,юриста,диплом,юрист,Ncmsan,Ncmsgy,ATR,,,,Vt,N
763,вес,человека,вес,человек,Ncmsan,Ncmsgy,PAR,,,,N,N
764,устойчивости,развития,устойчивость,развитие,Ncfsgn,Ncnsgn,PAR,,,,N,N
765,командир,крейсера,командир,крейсер,Ncmsny,Ncmsgn,OB',,,,N,N
766,акции,протеста,акция,протест,Ncfpnn,Ncmsgn,ATR,,,,N,N
767,предок,человека,предок,человек,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
768,стоимость,долга,стоимость,долг,Ncfsan,Ncmsgn,PAR,,,,Vt,N
769,замену,удостоверения,замена,удостоверение,Ncfsan,Ncnsgn,OB,,,,Vt,N
770,удостоверения,личности,удостоверение,личность,Ncnsgn,Ncfsgn,OB',,,,Vn,N
771,границы,участка,граница,участок,Ncfpnn,Ncmsgn,WH,,,,N,N
772,фрагмент,венца,фрагмент,венец,Ncmsan,Ncmsgn,WH,,,,N,N
773,шмотки,царицы,шмотки,царица,Ncfpan,Ncfsgy,POS,,,,Vn,Vn
774,достройку,слободы,достройка,слобода,Ncfan,Ncfsgn,OB,,,,Vn,N
775,палате,представителей,палата,представитель,Ncfsln,Ncmpgy,ATR,,,,N,N
776,стабилизации,цен,стабилизация,цена,Ncfsdn,Ncfpgn,OB,,,,Vt,N
777,продукты,питания,продукт,питание,Ncmpan,Ncfsgn,ATR,,,,Vt,N
778,появлением,малыша,появление,малыш,Ncnsin,Ncmpgn,SPA,,,,Vt,N
779,производство,препаратов,производство,препарат,Ncnsnn,Ncmsng,OB,,,,A,N
780,декан,факультета,декан,факультет,Ncmsny,Ncmsgn,MB,,,,Vt,N
781,факультета,управления,факультет,управление,Ncmsgn,Ncnsgn,ATR,,,,N,N
782,выступлением,тхэквондистов,выступление,тхэквондист,Ncnsin,Ncmsgy,SAG,,,,Vn,N
783,смерти,художника,смерть,художник,Ncfsgn,Ncmsgy,SPA,,,,Vn,N
784,возмещения,вреда,возмещение,вред,Ncnsan,Ncmsgn,OB,,,,N,N
785,фотографию,мальчика,фотография,мальчик,Ncfsan,Ncmsgy,OB',,,,A,N
786,вырубки,кедра,вырубка,кедр,Ncfpan,Ncmsgn,OB,,,,Vt,N
787,разрушению,экосистем,разрушение,экосистема,Ncnsdn,Ncfpgn,OB,,,,Vt,N
788,фотографии,человека,фотография,человек,Ncfpnn,Ncmsgy,OB',,,,A,N
789,рождение,ребенка,рождение,ребенок,Ncnsan,Ncmsgy,SPA,,,,N,N
790,оглашения,приговора,оглашение,приговор,Ncnsgn,Ncmsgn,OB,,,,N,N
791,игнорирование,нормы,игнорирование,норма,Ncnsnn,Ncfsgn,OB,,,,N,Vn
792,отец,героя,отец,герой,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
793,представителя,власти,представитель,власть,Ncmsgy,Ncfsgn,MB,,,,Vt,N
794,оператор,доения,оператор,доение,Ncmsny,Ncnsgn,ATR,,,,N,Vn
795,оператор,агрофирмы,оператор,агрофирма,Ncmsny,Ncfsgn,MB,,,,N,N
796,работу,мэра,работа,мэр,Ncfsan,Ncmsgy,SAG,,,,N,N
797,выдачи,формы,выдача,форма,Ncfsgn,Ncfsgn,OB,,,,A,N
798,талант,изобретателя,талант,изобретатель,Ncmsan,Ncmsgy,ATR,,,,N,N
799,договору,найма,договор,найм,Ncmsdn,Ncmsgn,ATR,,,,N,N
800,приобретения,жилья,приобретение,жилье,Ncnsgn,Ncnsgn,OB,,,,A,N
801,знаком,льва,знак,лев,Ncmsin,Ncmsgn,ATR,,,,N,N
802,оформлении,документов,оформление,документ,Ncnsln,Ncmpgn,OB,,,,Vt,N
803,списка,контактов,список,контакт,Ncmsgn,Ncmpgn,ATR,,,,Vt,Vn
804,экране,устройства,экран,устройство,Ncmsln,Ncnsgn,WH,,,,N,N
805,кнопка,звонка,кнопка,звонок,Ncfsnn,Ncmsgn,ATR,,,,N,Vn
806,совершение,преступлений,совершение,преступление,Ncnsan,Ncnpgn,OB,,,,N,Vn
807,главой,аэропорта,глава,аэропорт,Ncmsiy,Ncmsgn,MB,,,,N,A
808,страхованию,вкладов,страхование,вклад,Ncnsdn,Ncmsgn,OB,,,,A,N
809,производству,конструктора,производство,конструктор,Ncnsdn,Ncmsgn,OB,,,,N,N
810,пресс-атташе,клуба,пресс-атташе,клуб,Ncmsny,Ncmsgn,MB,,,,N,N
811,подножию,памятника,подножие,памятник,Ncnsdn,Ncmsgn,WH,,,,Vt,N
812,органов,дознания,орган,дознание,Ncmogn,Ncnsgn,ATR,,,,N,N
813,визите,проповедника,визит,проповедник,Ncmsgn,Ncmsgy,SAG,,,,Vt,Vn
814,учредителя,компании,учредитель,компания,Ncmsgy,Ncfsgn,OB',,,,N,Vn
815,забастовка,служащих,забастовка,служащий,Ncfsnn,Ncmpgy,SAG,,,,Vt,N
816,дверь,подъезда,дверь,подъезд,Ncfsnn,Ncmsgn,WH,,,,N,N
817,приключений,шерлока,приключение,шерлок,Ncnpgn,Npmsgy,SAG,,,,N,N
818,палату,парламента,палата,парламент,Ncfsan,Ncmsgn,WH,,,,N,N
819,ввода,законопроекта,ввод,законопроект,Ncmsgn,Ncmsgn,OB',,,,Vt,N
820,вмешательство,ес,вмешательство,ес,Ncnsan,Ncmsgn,SAG,,,,N,N
821,уровень,качества,уровень,качество,Ncmsan,Ncnsgn,PAR,,,,N,N
822,день,гнева,день,гнев,Ncmsnn,Ncmsgn,ATR,,,,N,N
823,параметрах,бюджета,параметр,бюджет,Ncmpln,Ncmsgn,PAR,,,,N,N
824,отмены,приказа,отмена,приказ,Ncfsgn,Ncmsgn,OB,,,,Vn,N
825,эры,телевидения,эра,телевидение,Ncfsgn,Ncnsgn,ATR,,,,Vt,N
826,симуляции,сознания,симуляция,сознание,Ncfsgn,Ncnsgn,OB,,,,N,N
827,поддержке,депутата,поддержка,депутат,Ncfsln,Ncmsgy,SAG,,,,N,N
828,экспертиза,малыша,экспертиза,малыш,Ncfsnn,Ncmsgy,OB,,,,N,N
829,предоставление,льгот,предоставление,льгота,Ncnsnn,Ncfpgn,OB,,,,N,N
830,костюме,зверя,костюм,зверь,Ncmsln,Ncmsgy,ATR,,,,N,N
831,брожение,пищи,брожение,пища,Ncnsnn,Ncfsgn,SPA,,,,N,N
832,прокладку,трубы,прокладка,труба,Ncfsan,Ncfsgn,OB,,,,Vt,N
833,ресурсы,работника,ресурс,работник,Ncmpan,Ncmsgn,POS,,,,N,N
834,амплитуда,изменений,амплитуда,изменение,Ncfsnn,Ncnpgn,PAR,,,,A,N
835,проректор,школы,проректор,школа,Ncmsny,Ncfsgn,MB,,,,Vn,Vn
836,возврата,денег,возврат,деньги,Ncmsgn,Ncfpgn,OB,,,,Vn,Vn
837,дочери,издателя,дочь,издатель,Ncfsly,Ncmsgy,KIN-SOC,,,,N,N
838,учета,доходов,учет,доход,Ncmsgn,Ncmpgn,OB,,,,N,N
839,объемы,средств,объем,средство,Ncmpan,Ncnpgn,PAR,,,,N,N
840,квалификации,персонала,квалификация,персонал,Ncfsgn,Ncmsgn,PAR,,,,N,N
841,сходы,граждан,сход,гражданин,Ncmpan,Ncmpgy,SAG,,,,Vt,A
842,представитель,истца,представитель,истец,Ncmsny,Ncmsgy,OB',,,,A,Vn
843,форуме,услуг,форум,услуга,Ncmsln,Ncfpgn,ATR,,,,Vn,N
844,поведение,звезды,поведение,звезда,Ncnsan,Ncfsgy,SAG,,,,N,N
845,срок,действия,срок,действие,Ncmsan,Ncnsgn,PAR,,,,A,N
846,надежности,компании,надежность,компания,Ncfsln,Ncfsgn,PAR,,,,N,N
847,средство,платежа,средство,платеж,Ncnsan,Ncmsgn,ATR,,,,N,N
848,средств,получателя,средство,получатель,Ncnpgn,Ncmsgy,POS,,,,Vt,N
849,часть,доклада,часть,доклад,Ncfsan,Ncmsgn,WH,,,,N,N
850,ректор,мгу,ректор,мгу,Ncmsny,Ncmsgn,MB,,,,Vt,Vn
851,обзору,истории,обзор,история,Ncmsdn,Ncfsgn,OB,,,,N,Vn
852,зоны,торговли,зона,торговля,Ncfsgn,Ncfsgn,ATR,,,,Vt,N
853,исполнитель,роли,исполнитель,роль,Ncmsny,Ncfsgn,OB',,,,Vt,Vt
854,производитель,микросхем,производитель,микросхема,Ncmsny,Ncfpgn,OB',,,,A,N
855,особенности,характера,особенность,характер,Ncfpan,Ncmsgn,PAR,,,,A,N
856,склад,ума,склад,ум,Ncmsan,Ncmsgn,PAR,,,,Vt,N
857,водитель,автомашины,водитель,автомашина,Ncmsny,Ncfsgn,OB',,,,N,N
858,состоянии,опьянения,состояние,опьянение,Ncnsln,Ncnsgn,ATR,,,,N,N
859,правила,движения,правило,движение,Ncnpan,Nncsgn,ATR,,,,N,N
860,рации,диспетчера,рация,диспетчер,Ncfsln,Ncmsgy,POS,,,,Vt,Vn
861,смещение,министра,смещение,министр,Ncnsnn,Ncmsgy,OB,,,,N,Vn
862,удостоверением,водолаза,удостоверение,водолаз,Ncnsin,Ncmsgy,ATR,,,,Vt,N
863,рассмотрения,представления,рассмотрение,представление,Ncnsgn,Ncnsgn,OB,,,,Vt,N
864,устранение,нарушений,устранение,нарушение,Ncnsnn,Ncnpgn,OB,,,,Vt,N
865,соучредителем,кооператива,соучредитель,кооператив,Ncmsiy,Ncmsgn,OB',,,,Vt,N
866,рейде,порта,рейд,порт,Ncmsln,Ncmsgn,OB,,,,Vt,N
867,закладка,стен,закладка,стена,Ncfsnn,Ncfpgn,OB,,,,A,N
868,обоснованность,проекта,обоснованность,проект,Ncfsnn,Ncmsgn,PAR,,,,Vt,N
869,захоронение,тела,захоронение,тело,Ncnsan,Ncnsgn,OB,,,,N,Vt
870,оппонент,преемника,оппонент,преемник,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
871,преемника,президента,преемник,президент,Ncmsgy,Ncmsgy,KIN-SOC,,,,Vt,N
872,восстановления,гражданства,восстановление,гражданство,Ncnsgn,Ncnsgn,OB,,,,Vt,N
873,пользователь,твиттера,пользователь,твиттер,Ncmsny,Ncmsgn,OB',,,,Vt,Vn
874,монетизации,льгот,монетизация,льгота,Ncfsdn,Ncfpgn,OB,,,,Vn,N
875,выходкой,болельщика,выходка,болельщик,Ncfsin,Ncmsgy,SAG,,,,N,N
876,музей,фигур,музей,фигура,Ncmsnn,Ncfpgn,ATR,,,,A,N
877,уникальность,роли,уникальность,роль,Ncfsnn,Ncfsgy,PAR,,,,N,N
878,сотрудник,мчс,сотрудник,мчс,Ncmsny,Ncmsgn,MB,,,,N,Vn
879,законность,пропажи,законность,пропажа,Ncfsnn,Ncnsgn,PAR,,,,Vt,N
880,ведущего,телепередачи,ведущий,телепередача,Ncmsgy,Ncfsgn,OB',,,,N,N
881,,,,,,,,,,,Vt,N
882,преследование,жертвы,преследование,жертва,,,OB,,,,A,Vn
883,темп,бега,темп,бег,,,PAR,,,,Vn,N
884,бега,льва,бег,лев,,,SAG,,,,Vn,Vn
885,движению,талибов,движение,талиб,,,SAG,,,,Vn,N
,возвращения,россиян,возвращение,россиянин,,,SAG,,,,Vn,N
886,переезд,семьи,переезд,семья,,,SAG,,,,Vn,N
887,сопровождении,медработника,сопровождение,медработник,,,SAG,,,,Vn,Vn
888,походы,олигархов,поход,олигарх,,,SAG,,,,Vn,N
889,перехода,руководителя,переход,руководитель,,,SAG,,,,Vn,N
890,возвращения,россиян,возвращение,россиянин,,,SAG,,,,Vn,N
891,эмиграцией,евреев,эмиграция,еврей,,,SAG,,,,Vn,N
892,атаку,соперника,атака,соперник,,,SAG,,,,Vn,N
893,приезде,курьера,приезд,курьер,,,SAG,,,,Vn,N
894,ухода,рабочих,уход,рабочий,,,SAG,,,,Vn,N
895,передвижении,людей,передвижение,человек,,,SAG,,,,Vn,N
896,вселении,писателя,вселение,писатель,,,SAG,,,,Vn,N
897,возвращении,мать,возвращение,мать,,,SAG,,,,Vn,N
898,поклонения,волхвов,поклонение,волхв,,,SAG,,,,Vn,N
899,прыжком,врага,прыжок,враг,,,SAG,,,,Vn,N
900,полеты,пчел,полет,пчела,,,SAG,,,,Vn,N
901,отступления,оккупантов,отступление,оккупант,,,SAG,,,,Vn,N
902,возвращение,грачей,возвращение,грач,,,SAG,,,,Vn,N
903,исполнении,ансамбля,исполнение,ансамбль,,,SAG,,,,Vn,N
904,приезды,отца,приезд,отец,,,SAG,,,,Vn,N
905,восхождения,правителя,восхождение,правитель,,,SAG,,,,A,Vn
906,длительности,правления,длительность,правление,,,PAR,,,,Vn,Vt
907,приходом,хозяина,приход,хозяин,,,SAG,,,,Vt,N
908,потеря,отца,потеря,отец,,,OB,,,,Vt,N
909,владения,графа,владение,граф,,,POS,,,,Vt,N
910,выселения,новобрачной,выселение,новобрачный,,,OB,,,,Vn,N
911,продвижение,красных,продвижение,красных,,,SAG,,,,Vn,Vn
912,отъезда,крестьянина,отъезд,крестьянин,,,SAG,,,,Vt,N
913,краже,невесты,кража,невеста,,,OB,,,,Vt,N
914,похищения,голова,похищение,голова,,,OB,,,,Vn,N
915,возвращения,зайца,возвращение,заяц,,,SAG,,,,Vn,N
916,лай,собаки,лай,собака,,,SAG,,,,Vn,N
917,приближение,зайца,приближение,заяц,,,SAG,,,,Vn,N
918,пробега,зайца,пробег,заяц,,,SAG,,,,Vt,N
